Date,Price,Open,High,Low,Volume,Change
"Jul 04, 2020",9134.4,9067.1,9182.3,9049.6,261.25K,0.74%
"Jul 03, 2020",9067.1,9085,9120.4,9050.9,333.88K,-0.20%
"Jul 02, 2020",9085.1,9229.9,9259.7,8962.1,483.10K,-1.57%
"Jul 01, 2020",9229.9,9135.9,9289,9101.1,366.78K,1.03%
"Jun 30, 2020",9135.4,9186,9199.8,9075.3,381.73K,-0.54%
"Jun 29, 2020",9185.4,9122.8,9229.1,9033.6,401.12K,0.67%
"Jun 28, 2020",9124,9008.4,9185.5,8950.2,329.01K,1.28%
"Jun 27, 2020",9008.3,9160.5,9190.5,8865.3,441.93K,-1.66%
"Jun 26, 2020",9160,9247.5,9296.5,9060.1,489.84K,-0.95%
"Jun 25, 2020",9247.5,9300.8,9327.3,9022.6,524.45K,-0.59%
"Jun 24, 2020",9302,9624.6,9667.4,9223,515.78K,-3.35%
"Jun 23, 2020",9624.6,9683.9,9715.6,9581.8,375.49K,-0.61%
"Jun 22, 2020",9683.7,9296.5,9751.9,9285.8,523.32K,4.17%
"Jun 21, 2020",9296.4,9358.8,9411.2,9288.5,335.99K,-0.67%
"Jun 20, 2020",9358.8,9314,9394.5,9199.8,383.44K,0.48%
"Jun 19, 2020",9314,9390.3,9424,9249.6,478.49K,-0.79%
"Jun 18, 2020",9388.1,9464.6,9480.4,9289.3,391.67K,-0.81%
"Jun 17, 2020",9464.6,9523.6,9543.6,9258.2,446.45K,-0.62%
"Jun 16, 2020",9523.5,9425.6,9577.1,9379.3,545.47K,1.04%
"Jun 15, 2020",9425.4,9345.5,9489.7,8925.6,750.90K,0.86%
"Jun 14, 2020",9345.3,9470.7,9474.7,9264.4,311.27K,-1.33%
"Jun 13, 2020",9471.3,9466.5,9484.9,9369.9,364.97K,0.05%
"Jun 12, 2020",9466.6,9283.7,9547.5,9249.4,529.28K,1.97%
"Jun 11, 2020",9283.2,9878.9,9945.2,9139.1,919.30K,-6.03%
"Jun 10, 2020",9878.8,9768.8,9970.9,9710.7,533.55K,1.13%
"Jun 09, 2020",9768.8,9777.7,9857.2,9616.6,479.55K,-0.09%
"Jun 08, 2020",9777.9,9743.4,9788.2,9662.3,431.04K,0.36%
"Jun 07, 2020",9742.6,9669.6,9791.8,9417.4,549.20K,0.76%
"Jun 06, 2020",9669.6,9630.8,9733.1,9549.5,370.85K,0.40%
"Jun 05, 2020",9631.2,9794,9846.1,9628.7,527.05K,-1.67%
"Jun 04, 2020",9794.4,9667.2,9864.4,9490.9,593.66K,1.32%
"Jun 03, 2020",9667.2,9527,9667.2,9421.7,558.12K,1.47%
"Jun 02, 2020",9527.6,10190.7,10207.3,9347.3,1.06M,-6.49%
"Jun 01, 2020",10189.3,9454.5,10301.8,9429.7,796.68K,7.77%
"May 31, 2020",9454.8,9692.9,9695.6,9406.2,645.27K,-2.45%
"May 30, 2020",9692.5,9424.8,9729.9,9352.7,720.62K,2.84%
"May 29, 2020",9424.8,9573.4,9596.5,9358.1,814.33K,-1.54%
"May 28, 2020",9572.2,9199.8,9610.8,9119.2,948.86K,4.06%
"May 27, 2020",9199.1,8842.3,9210.9,8818.6,810.89K,4.03%
"May 26, 2020",8842.5,8897.7,8994.6,8713.9,784.92K,-0.63%
"May 25, 2020",8898.2,8728,8959.5,8666.1,941.89K,1.95%
"May 24, 2020",8728.2,9177.9,9292,8724.1,1.11M,-4.89%
"May 23, 2020",9177,9169.8,9303.2,9098.9,812.56K,0.08%
"May 22, 2020",9169.7,9058.2,9253.5,8952.1,914.59K,1.22%
